district_id,district_name,county_number,county,econ_disadv_pct,attendance_rate,chronic_absenteeism_rate,ccmr_rate,graduation_rate,student_count
020904,DANBURY ISD,020,brazoria,28.9,95.1,11.3,42.6,96.4,671
020905,BRAZOSPORT ISD,020,brazoria,63.6,92.6,23.3,22.2,91.9,11143
020906,SWEENY ISD,020,brazoria,51.6,93.6,18.5,27.1,100.0,1915
020907,COLUMBIA-BRAZORIA ISD,020,brazoria,63.7,92.1,26.5,27.2,96.4,2861
020908,PEARLAND ISD,020,brazoria,36.8,95.7,8.6,26.7,99.4,20794
020910,DAMON ISD,020,brazoria,74.3,93.9,18.0,,,105
021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,021,brazos,100.0,94.1,14.9,,,300
021805,ARROW ACADEMY,021,brazos,77.3,93.1,24.2,,,454
021901,COLLEGE STATION ISD,021,brazos,40.6,95.0,12.2,16.4,95.9,14268
021902,BRYAN ISD,021,brazos,77.6,93.8,18.1,20.0,93.6,15998
022004,TERLINGUA CSD,022,brewster,73.6,92.9,25.0,0.0,100.0,121
022901,ALPINE ISD,022,brewster,51.1,94.4,15.6,9.0,96.3,903
022902,MARATHON ISD,022,brewster,70.7,95.0,9.6,-1.0,-1.0,58
022903,SAN VICENTE ISD,022,brewster,0.0,-1.0,28.6,,,9
023902,SILVERTON ISD,023,briscoe,51.2,96.6,7.1,76.2,100.0,201
024901,BROOKS COUNTY ISD,024,brooks,85.2,90.1,37.7,11.9,86.7,1179
025901,BANGS ISD,025,brown,68.1,94.3,15.7,15.4,100.0,792
025902,BROWNWOOD ISD,025,brown,60.4,94.3,16.7,11.4,96.0,3388
025904,BLANKET ISD,025,brown,63.0,94.1,19.9,25.0,100.0,165
025905,MAY ISD,025,brown,52.3,93.5,20.2,21.7,100.0,243
025906,ZEPHYR ISD,025,brown,52.7,94.7,15.0,0.0,100.0,220
025908,BROOKESMITH ISD,025,brown,63.4,94.6,13.8,0.0,100.0,227
025909,EARLY ISD,025,brown,43.6,95.0,11.4,21.7,95.3,1063
026901,CALDWELL ISD,026,burleson,61.6,93.8,19.7,29.6,98.4,1920
026902,SOMERVILLE ISD,026,burleson,79.5,92.4,25.0,44.8,94.3,561
026903,SNOOK ISD,026,burleson,63.3,94.9,11.3,66.7,96.7,607
027903,BURNET CISD,027,burnet,58.4,93.9,17.3,26.2,95.3,3206
027904,MARBLE FALLS ISD,027,burnet,65.4,94.6,13.6,40.1,98.0,3990
028902,LOCKHART ISD,028,caldwell,76.0,91.7,28.0,18.7,87.6,6732
028903,LULING ISD,028,caldwell,81.4,93.3,20.7,17.5,97.0,1434
028906,PRAIRIE LEA ISD,028,caldwell,62.4,92.1,27.9,7.1,93.3,266
029901,CALHOUN COUNTY ISD,029,calhoun,65.8,93.3,19.6,52.1,98.8,3502
030901,CROSS PLAINS ISD,030,callahan,68.5,94.6,13.0,7.7,96.0,365
030902,CLYDE CISD,030,callahan,41.6,95.0,12.1,28.4,98.2,1387
030903,BAIRD ISD,030,callahan,65.5,93.9,22.0,0.0,100.0,348
030906,EULA ISD,030,callahan,39.4,95.8,8.2,47.4,94.7,502
031901,BROWNSVILLE ISD,031,cameron,89.3,92.0,28.6,41.1,94.9,36118
031903,HARLINGEN CISD,031,cameron,76.7,93.3,20.6,44.4,96.5,16468
031905,LA FERIA ISD,031,cameron,82.8,93.4,19.4,49.2,97.4,2839
031906,LOS FRESNOS CISD,031,cameron,76.9,92.7,22.9,38.4,92.8,10330
031909,POINT ISABEL ISD,031,cameron,85.5,92.8,22.1,60.1,90.1,1783
031911,RIO HONDO ISD,031,cameron,88.4,92.5,27.1,26.0,91.9,1437
031912,SAN BENITO CISD,031,cameron,84.8,91.4,28.9,22.3,89.6,9066
031913,SANTA MARIA ISD,031,cameron,98.6,94.0,18.4,33.3,89.1,512
031914,SANTA ROSA ISD,031,cameron,89.0,90.6,33.4,30.8,96.3,874
031916,SOUTH TEXAS ISD,031,cameron,57.9,93.7,17.7,49.6,99.4,4639
032902,PITTSBURG ISD,032,camp,75.7,95.2,10.9,67.8,100.0,2242
033901,GROOM ISD,033,carson,24.6,95.2,14.5,9.1,100.0,130
033902,PANHANDLE ISD,033,carson,18.5,94.7,12.9,52.4,97.7,620
033904,WHITE DEER ISD,033,carson,48.0,95.5,13.2,70.6,94.4,321
034901,ATLANTA ISD,034,cass,63.7,94.7,16.1,50.5,100.0,1929
034902,AVINGER ISD,034,cass,75.0,94.2,16.0,50.0,100.0,112
034903,HUGHES SPRINGS ISD,034,cass,48.3,94.6,15.4,46.2,98.5,1090
034905,LINDEN-KILDARE CISD,034,cass,62.8,94.1,18.3,25.6,92.5,616
034906,MCLEOD ISD,034,cass,46.7,93.9,16.3,0.0,100.0,422
034907,QUEEN CITY ISD,034,cass,64.5,93.5,21.0,44.3,98.9,867
034909,BLOOMBURG ISD,034,cass,77.3,93.0,27.0,19.0,100.0,229
035901,DIMMITT ISD,035,castro,79.1,93.7,17.8,49.2,95.5,1075
035902,HART ISD,035,castro,86.4,95.1,10.3,40.0,100.0,206
035903,NAZARETH ISD,035,castro,13.2,96.9,2.3,40.9,100.0,243
036901,ANAHUAC ISD,036,chambers,53.0,94.6,13.8,62.6,100.0,1548
036902,BARBERS HILL ISD,036,chambers,28.8,94.9,10.8,39.1,99.3,7848
036903,EAST CHAMBERS ISD,036,chambers,63.8,94.8,13.0,42.3,98.1,1561
037901,ALTO ISD,037,cherokee,76.9,94.2,16.5,62.9,97.1,502
037904,JACKSONVILLE ISD,037,cherokee,88.1,94.5,15.2,26.6,92.4,4695
037907,RUSK ISD,037,cherokee,64.0,94.7,13.0,37.3,97.7,2053
037908,NEW SUMMERFIELD ISD,037,cherokee,81.4,95.5,11.7,41.4,100.0,526
037909,WELLS ISD,037,cherokee,65.7,94.6,15.0,73.7,100.0,239
038901,CHILDRESS ISD,038,childress,57.1,94.7,16.5,13.4,94.3,977
039902,HENRIETTA ISD,039,clay,45.8,94.6,15.3,81.0,96.9,883
039903,PETROLIA CISD,039,clay,60.7,95.4,9.6,56.0,92.6,509
039904,BELLEVUE ISD,039,clay,41.1,95.6,8.4,23.1,100.0,231
039905,MIDWAY ISD,039,clay,73.0,96.0,10.0,40.0,100.0,137
040901,MORTON ISD,040,cochran,75.3,94.8,16.3,35.7,93.8,368
040902,WHITEFACE CISD,040,cochran,54.2,95.6,5.4,10.3,100.0,297
041901,BRONTE ISD,041,coke,34.9,95.1,14.7,40.0,100.0,232
041902,ROBERT LEE ISD,041,coke,51.3,94.4,16.4,37.5,95.8,269
042901,COLEMAN ISD,042,coleman,45.1,93.2,22.6,2.3,93.3,794
042903,SANTA ANNA ISD,042,coleman,67.6,95.4,9.7,35.3,89.5,259
042905,PANTHER CREEK CISD,042,coleman,69.9,93.9,20.1,45.5,100.0,163
043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,043,collin,2.2,96.6,2.8,0.0,97.7,1445
043802,IMAGINE LONE STAR INTERNATIONAL ACADEMY,043,collin,2.2,94.8,11.5,,,270
043901,ALLEN ISD,043,collin,20.0,95.3,10.1,23.2,98.3,20794
043902,ANNA ISD,043,collin,49.3,94.3,18.0,45.7,92.7,6016
043903,CELINA ISD,043,collin,16.8,95.5,8.0,29.8,98.2,5313
043904,FARMERSVILLE ISD,043,collin,56.6,95.3,11.3,52.9,98.7,2392
043905,FRISCO ISD,043,collin,13.9,95.3,9.7,5.6,98.8,65151
043907,MCKINNEY ISD,043,collin,34.6,94.1,15.3,5.4,98.1,23118
043908,MELISSA ISD,043,collin,17.1,95.4,9.5,36.4,97.9,7707
043910,PLANO ISD,043,collin,36.5,94.1,16.1,21.3,94.5,46432
043911,PRINCETON ISD,043,collin,63.1,94.0,17.5,24.3,97.7,9940
043912,PROSPER ISD,043,collin,6.1,95.5,7.6,38.8,99.1,31577
043914,WYLIE ISD,043,collin,27.5,95.4,9.4,31.2,99.0,19334
043917,BLUE RIDGE ISD,043,collin,53.5,94.5,14.8,59.7,98.6,1045
043918,COMMUNITY ISD,043,collin,53.5,93.8,19.4,55.5,96.8,5255
043919,LOVEJOY ISD,043,collin,3.6,95.8,6.7,39.3,99.2,4011
044902,WELLINGTON ISD,044,collingsworth,63.3,96.6,6.0,10.5,97.4,534
045902,COLUMBUS ISD,045,colorado,59.9,94.5,16.0,57.0,95.6,1625
045903,RICE CISD,045,colorado,77.1,94.1,17.5,45.2,98.7,1299
045905,WEIMAR ISD,045,colorado,54.4,95.9,8.8,65.9,95.9,719
046802,TRINITY CHARTER SCHOOL,046,comal,88.6,100.0,0.0,7.7,47.0,315
046901,NEW BRAUNFELS ISD,046,comal,36.1,93.3,20.9,24.3,97.2,9870
046902,COMAL ISD,046,comal,29.0,94.3,14.7,26.9,97.9,29739
047901,COMANCHE ISD,047,comanche,56.2,95.3,11.0,38.0,94.0,1373
047902,DE LEON ISD,047,comanche,52.6,95.5,9.6,52.8,98.1,639
047903,GUSTINE ISD,047,comanche,80.7,95.9,8.2,0.0,100.0,135
047905,SIDNEY ISD,047,comanche,60.4,94.6,16.4,22.2,90.0,106
048901,EDEN CISD,048,concho,62.9,94.4,14.6,0.0,95.2,221
048903,PAINT ROCK ISD,048,concho,84.2,95.0,12.6,40.0,100.0,298
049901,GAINESVILLE ISD,049,cooke,66.5,93.5,20.0,30.6,98.9,3097
049902,MUENSTER ISD,049,cooke,20.2,96.9,3.6,0.0,100.0,554
049903,VALLEY VIEW ISD,049,cooke,35.7,94.4,13.8,0.0,100.0,847
049905,CALLISBURG ISD,049,cooke,40.8,95.8,10.0,16.9,98.8,1149
049906,ERA ISD,049,cooke,43.4,96.2,6.2,57.5,100.0,498
049907,LINDSAY ISD,049,cooke,8.7,96.9,3.1,3.4,100.0,495
049908,WALNUT BEND ISD,049,cooke,67.1,93.3,27.1,,,73
049909,SIVELLS BEND ISD,049,cooke,59.7,95.4,10.2,,,62
050901,EVANT ISD,050,coryell,80.7,93.7,21.1,30.0,71.4,197
050902,GATESVILLE ISD,050,coryell,48.4,94.2,14.8,39.5,93.1,2656
050904,OGLESBY ISD,050,coryell,50.8,95.4,11.3,7.7,100.0,236
050909,JONESBORO ISD,050,coryell,55.1,97.1,3.1,0.0,95.0,336
050910,COPPERAS COVE ISD,050,coryell,57.4,93.0,22.1,36.6,90.6,7749
051901,PADUCAH ISD,051,cottle,68.0,94.9,11.2,83.3,100.0,153
052901,CRANE ISD,052,crane,54.7,93.8,17.4,3.7,97.5,1233
053001,CROCKETT COUNTY CONSOLIDATED CSD,053,crockett,64.1,95.4,12.3,14.7,100.0,618
054901,CROSBYTON CISD,054,crosby,83.1,93.7,17.6,4.8,90.9,313
054902,LORENZO ISD,054,crosby,81.1,94.2,18.0,37.5,100.0,206
054903,RALLS ISD,054,crosby,82.2,92.4,29.4,11.8,94.1,370
055901,CULBERSON COUNTY-ALLAMOORE ISD,055,culberson,78.5,90.5,40.8,25.0,100.0,381
056901,DALHART ISD,056,dallam,71.2,94.2,13.6,37.3,98.1,1825
056902,TEXLINE ISD,056,dallam,63.2,95.0,11.9,11.1,100.0,223
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,057,dallas,58.6,92.7,32.2,0.0,96.3,348
057803,UPLIFT EDUCATION,057,dallas,80.6,93.3,21.3,3.2,94.9,23383
057804,TEXANS CAN ACADEMIES,057,dallas,84.1,75.4,81.4,3.2,21.3,3437
057806,ADVANTAGE ACADEMY,057,dallas,80.2,94.0,19.6,0.0,90.3,972
057807,LIFE SCHOOL,057,dallas,67.1,94.5,15.1,42.0,100.0,5735
057808,UNIVERSAL ACADEMY,057,dallas,31.2,96.1,8.3,0.0,96.3,2036
057809,NOVA ACADEMY,057,dallas,88.3,92.5,28.6,,,77
057810,ACADEMY OF DALLAS,057,dallas,88.2,93.5,24.7,,,220
057813,TRINITY BASIN PREPARATORY,057,dallas,75.0,94.4,16.2,0.0,,7007
057814,ACADEMY FOR ACADEMIC EXCELLENCE,057,dallas,100.0,81.0,62.5,,0.0,280
057819,JEAN MASSIEU ACADEMY,057,dallas,70.7,94.9,15.2,0.0,71.4,184
057827,NOVA ACADEMY SOUTHEAST,057,dallas,94.9,93.5,21.6,,,235
057828,WINFREE ACADEMY CHARTER SCHOOLS,057,dallas,57.6,79.2,72.3,3.0,51.6,1093
057829,A+ ACADEMY,057,dallas,94.8,95.0,11.6,23.5,98.8,1678
057830,INSPIRED VISION ACADEMY,057,dallas,99.6,94.9,12.5,0.0,95.9,1135
057831,GATEWAY CHARTER ACADEMY,057,dallas,95.1,93.4,22.0,8.6,89.5,511
057833,EDUCATION CENTER INTERNATIONAL ACADEMY,057,dallas,54.8,94.0,15.8,,,221
057834,EVOLUTION ACADEMY CHARTER SCHOOL,057,dallas,70.1,82.0,68.0,27.4,67.2,629
057835,GOLDEN RULE CHARTER SCHOOL,057,dallas,93.6,95.2,10.2,0.0,,1298
057836,ST ANTHONY SCHOOL,057,dallas,90.3,96.6,6.7,,,318
057839,LA ACADEMIA DE ESTRELLAS,057,dallas,88.4,95.9,5.8,,,1024
057840,RICHLAND COLLEGIATE HIGH SCHOOL,057,dallas,45.5,97.4,4.5,49.6,100.0,132
057841,CITYSCAPE SCHOOLS,057,dallas,97.1,94.4,17.5,,,1259
057844,MANARA ACADEMY,057,dallas,58.6,93.1,23.6,0.0,100.0,671
057845,UME PREPARATORY ACADEMY,057,dallas,42.0,95.5,7.7,0.0,98.8,1703
057846,LEGACY PREPARATORY,057,dallas,79.5,95.1,13.3,3.4,93.8,1138
057847,VILLAGE TECH SCHOOLS,057,dallas,54.9,95.3,12.0,13.8,98.3,1335
057848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),057,dallas,73.7,94.2,18.5,1.4,99.1,25496
057850,PIONEER TECHNOLOGY & ARTS ACADEMY,057,dallas,41.9,93.8,18.8,13.2,100.0,2328
057851,BRIDGEWAY PREPARATORY ACADEMY,057,dallas,48.1,90.9,38.6,,,108
057903,CARROLLTON-FARMERS BRANCH ISD,057,dallas,64.0,93.8,17.3,30.4,93.0,24120
057904,CEDAR HILL ISD,057,dallas,64.3,93.5,22.0,28.7,91.1,6249
057905,DALLAS ISD,057,dallas,89.3,93.0,21.4,30.9,85.5,139776
057906,DESOTO ISD,057,dallas,64.6,92.8,24.2,46.4,86.6,5708
057907,DUNCANVILLE ISD,057,dallas,78.1,91.8,25.7,26.9,90.1,11551
057909,GARLAND ISD,057,dallas,72.1,93.7,18.8,49.9,94.3,50898
057910,GRAND PRAIRIE ISD,057,dallas,73.5,93.2,19.4,11.0,93.1,25903
057911,HIGHLAND PARK ISD,057,dallas,0.5,96.0,5.5,14.9,99.1,6327
057912,IRVING ISD,057,dallas,85.3,94.7,16.0,32.6,93.9,30732
057913,LANCASTER ISD,057,dallas,81.8,91.6,29.6,30.9,98.8,6820
057914,MESQUITE ISD,057,dallas,81.2,93.5,18.9,29.9,94.8,37881
057916,RICHARDSON ISD,057,dallas,52.7,94.1,15.8,36.4,91.5,36880
057919,SUNNYVALE ISD,057,dallas,18.2,96.7,3.8,53.2,98.9,2301
057922,COPPELL ISD,057,dallas,9.5,95.9,7.0,23.1,99.4,13222
058902,DAWSON ISD,058,dawson,65.0,92.1,29.1,0.0,87.5,140
058905,KLONDIKE ISD,058,dawson,21.5,95.8,5.5,0.0,100.0,261
058906,LAMESA ISD,058,dawson,77.9,91.7,31.2,8.9,95.1,1475
058909,SANDS CISD,058,dawson,58.5,95.8,6.5,56.5,100.0,229
059901,HEREFORD ISD,059,deaf smith,80.5,92.6,22.6,12.6,94.0,3951
059902,WALCOTT ISD,059,deaf smith,54.1,95.5,7.0,,,146
