county,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,population,median_income,poverty_rate,bachelors_or_higher_pct,private_schools_per_100k,private_enrollment_per_100k
matagorda,1,47,10.4,4.5192307692,4.519230769230769,36251.0,56412.0,21.76388501255931,20.850849167647553,2.7585445918733273,129.65159581804642
maverick,3,286,22.0,11.128205128333335,13.0,57806.0,48497.0,23.435380066098453,15.822460602042968,5.189772687956268,494.7583295851642
mclennan,11,2213,264.0,8.546903161254546,8.382575757575758,261090.0,59781.0,17.88032211768458,26.941239349828656,4.213106591596767,847.6004442912405
medina,2,115,12.0,5.95,9.583333333333334,51432.0,73060.0,10.274321324562655,22.182561386338122,3.888629646912428,223.59620469746463
midland,12,3097,304.0,20.500137296716666,10.1875,169393.0,90123.0,10.75262401021559,29.44701509519836,7.0841179977921165,1828.2927865968488
milam,2,104,9.9,10.876582278499999,10.505050505050505,25080.0,56985.0,14.27233488069061,18.23928822289862,7.974481658692185,414.6730462519936
montgomery,30,4130,420.9,9.779022220453333,9.812306961273462,629989.0,95946.0,8.815014363800985,37.74240863082611,4.7619879077253735,655.5670019635263
nacogdoches,2,216,26.8,7.728009259249999,8.059701492537313,64768.0,51153.0,22.4418722029678,25.358610632374383,3.08794466403162,333.498023715415
nolan,1,28,4.6,6.0869565217,6.086956521739131,14657.0,47437.0,15.535739166782777,13.955928646379853,6.822678583611926,191.03500034113392
nueces,20,2181,256.9,8.72327495727,8.489684702218764,353245.0,64027.0,17.30461965960403,22.490441627037896,5.6617928066922385,617.4185055697886
ochiltree,1,15,2.0,7.5,7.5,9924.0,62240.0,12.216227221826326,18.558736426456072,10.076582023377672,151.14873035066506
orange,2,131,24.4,5.36954915,5.368852459016394,84761.0,71910.0,11.92052190298997,17.1633232766986,2.3595757482804594,154.5522115123701
panola,1,35,5.6,6.25,6.25,22540.0,58205.0,13.971856559237402,16.152236463510334,4.436557231588288,155.27950310559004
