county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k
dewitt,19826,61100,16.53442109968708,14.063396442914517,1.0,69.0,8.6,8.023255814,8.023255813953488,5.043881771411278,348.0278422273782
dickens,1570,46638,12.273641851106639,20.18739352640545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dimmit,8672,27374,43.568755846585596,14.586070959264127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
donley,3298,51711,11.310531662715881,13.503480278422275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duval,9960,50697,21.579116293998073,7.821316614420063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eastland,17812,52902,16.191602602010644,22.857377858200362,1.0,9.0,3.1,2.9032258065,2.903225806451613,5.6141926790927466,50.52773411183472
ector,162300,70566,15.783595592547762,16.602714857449357,5.0,433.0,36.1,10.4319444446,11.994459833795013,3.080714725816389,266.7898952556993
edwards,1380,40809,23.40267459138187,19.024970273483948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ellis,195509,93248,8.195068481818323,27.869294951692165,5.0,514.0,59.8,7.847683890420001,8.595317725752508,2.5574270238198755,262.90349804868316
el paso,863832,55417,19.50623152662989,25.01265945778281,32.0,3994.0,428.4,9.50415933838125,9.323062558356677,3.704424008371998,462.35842154492997
erath,42788,59654,16.54137203820866,32.36157385372045,2.0,43.0,10.9,3.4568965517,3.944954128440367,4.674207721791157,100.49546601850986
falls,17013,45172,15.849953770968167,13.476949590693666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fannin,36052,65835,12.831617201695941,20.57183533040693,1.0,11.0,2.0,5.5,5.5,2.773771219349828,30.511483412848108
fayette,24564,72881,10.16042780748663,24.059983337961675,3.0,236.0,27.200000000000003,7.6101035369,8.676470588235293,12.212994626282365,960.7555772675461
fisher,3680,60461,12.17966381923395,19.900306748466257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floyd,5386,49321,19.02621722846442,16.02637614678899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foard,1075,41944,22.0703125,16.045845272206304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fort bend,832607,109987,6.925968627982909,48.62033262753365,54.0,3637.0,445.1,7.608449926331481,8.171197483711525,6.485652895063336,436.82073295083995
franklin,10445,67915,8.623693379790941,30.717794759825328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freestone,19599,55902,12.658227848101266,17.38158748468027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frio,18151,56042,20.662224639651892,8.516084990186876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaines,21523,73299,12.660713450839218,10.398628375482213,3.0,717.0,58.0,13.086538461666668,12.362068965517242,13.938577335873253,3331.3199832737077
galveston,350801,83913,11.018453523921128,33.805945879739326,16.0,1688.0,186.5,7.53151641354375,9.05093833780161,4.560990419069501,481.1844892118324
garza,5735,56215,15.389972144846798,13.275613275613276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gillespie,26953,70162,9.070405593354133,35.233265720081135,2.0,437.0,43.1,9.9654761905,10.139211136890951,7.4203242681705195,1621.3408525952586
glasscock,1068,112188,5.2434456928838955,37.75372124492557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goliad,7092,58125,9.982837528604119,17.842981760507534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gonzales,19736,64255,13.072568193515183,13.086090638231143,1.0,18.0,3.6,5.0,5.0,5.066882853668423,91.20389136603161
gray,21272,54563,16.996412096360842,16.030154327572717,1.0,34.0,5.0,6.8,6.8,4.7010154193305755,159.83452425723956
grayson,137008,66608,11.427189882834295,22.819626067221442,4.0,526.0,58.7,9.3366845806,8.960817717206133,2.9195375452528323,383.9191872007474
gregg,124245,63811,16.544634026744678,22.423433092878717,12.0,1196.0,155.6,7.063494291683334,7.686375321336762,9.658336351563444,962.6141897058232
grimes,29442,63484,14.374613481756338,19.425030978934323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guadalupe,173828,88111,8.705674171692007,29.539614283118613,3.0,260.0,32.0,7.2724867725,8.125,1.7258439376855284,149.57314126607912
hale,32525,50721,18.512024876773957,14.802896218825424,1.0,87.0,16.4,5.3048780488,5.3048780487804885,3.0745580322828596,267.4865488086088
hall,2847,43873,18.56887298747764,18.200202224469162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamilton,8244,54890,17.143924302788843,25.05161734342739,1.0,5.0,1.0,5.0,5.0,12.1300339640951,60.65016982047549
hansford,5270,62350,8.355795148247978,29.57875457875458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardeman,3541,60455,11.174785100286533,17.428224828143954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardin,56576,70164,13.459814223720546,18.46864479761998,1.0,144.0,16.0,9.0,9.0,1.7675339366515839,254.52488687782807
harris,4726177,70789,15.772336273074345,33.16698986804085,232.0,42028.0,4845.3,7.922469190919397,8.67397271582771,4.908830117873284,889.2599663533549
harrison,69098,63427,16.338776606860318,22.198318442254077,2.0,215.0,41.5,5.75351213285,5.180722891566265,2.8944397811803526,311.1522764768879
hartley,5369,78065,6.944444444444445,25.28311176760217,2.0,150.0,17.6,8.36842105265,8.522727272727272,37.250884708511826,2793.816353138387
