county,population,median_income,poverty_rate,bachelors_or_higher_pct
la salle,6965,62798,28.03131245836109,5.420477358911444
lavaca,20379,58530,10.23847856711612,19.556093049726115
lee,17543,66448,13.16464552238806,16.58997335916687
leon,15928,57363,14.369556985990156,15.010250467956146
liberty,93523,59605,17.7203836158322,10.560421804575219
limestone,22222,53102,21.49532710280374,16.857768616335996
lipscomb,3038,71625,13.789615643964936,24.732905982905983
live oak,11374,55949,21.041456016177957,13.56219025746404
llano,21637,64241,11.312111438320946,31.809401159047006
loving,96,-666666666,5.208333333333334,0.0
lubbock,311509,61911,17.215924864288127,32.62386809028247
lynn,5619,52996,18.810986628117092,24.56379498364231
mcculloch,7638,53214,13.464630225080384,18.551532033426184
mclennan,261090,59781,17.88032211768458,26.941239349828656
mcmullen,670,60313,14.925373134328357,15.74074074074074
madison,13556,65768,12.473328591749643,14.039806347498654
marion,9668,48040,15.703084161003659,16.258813770219827
martin,5228,70217,16.88588007736944,16.89301093077178
mason,3959,77583,4.936708860759493,37.99205489346335
matagorda,36251,56412,21.76388501255931,20.850849167647553
maverick,57806,48497,23.435380066098453,15.822460602042968
medina,51432,73060,10.274321324562655,22.182561386338122
menard,1964,40945,22.4830464267084,23.86885245901639
midland,169393,90123,10.75262401021559,29.44701509519836
milam,25080,56985,14.27233488069061,18.23928822289862
mills,4501,59315,6.876591803658254,28.45360824742268
mitchell,8947,49869,14.450145610872278,9.59882762410698
montague,20197,63336,12.955037510699361,16.719487287837172
montgomery,629989,95946,8.815014363800985,37.74240863082611
moore,21284,59041,13.479891743032143,11.843468558221089
morris,11993,51532,15.766073871409029,13.543074843308345
motley,1223,66528,9.403107113654947,20.412595005428884
nacogdoches,64768,51153,22.4418722029678,25.358610632374383
navarro,52834,56261,16.45697030699547,17.003679175864605
newton,12333,38871,24.21849292530438,6.788780767029193
nolan,14657,47437,15.535739166782777,13.955928646379853
nueces,353245,64027,17.30461965960403,22.490441627037896
ochiltree,9924,62240,12.216227221826326,18.558736426456072
oldham,2171,71103,17.17062634989201,23.886328725038403
