school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
WESLEYAN CHRISTIAN ACADEMY,TX,dallas,Rowlett,75088,13,1.0,13.0,2,1
NEW LIFE CHRISTIAN ACADEMY,TX,dallas,Dallas,75228,31,4.0,7.75,2,3
WISDOM ACADEMY,TX,dallas,Carrollton,75006,51,7.8,6.5384615385,2,3
PARISH EPISCOPAL SCHOOL,TX,dallas,Dallas,75254,1090,116.3,9.3723129837,2,3
SPANISH SCHOOLHOUSE,TX,rockwall,Rockwall,75032,13,2.0,6.5,3,1
EASTRIDGE CHRISTIAN SCHOOL,TX,dallas,Mesquite,75150,5,1.0,5.0,2,1
HARBOR CHRISTIAN ACADEMY,TX,harris,Houston,77020,81,8.8,9.2045454545,2,1
HOLY SPIRIT EPISCOPAL SCHOOL - HOUSTON,TX,harris,Houston,77024,106,16.1,6.5838509317,2,1
DARUL ARQAM SOUTHEAST,TX,harris,Houston,77034,16,6.6,2.4242424242,2,1
THE VILLAGE SCHOOL,TX,harris,Houston,77077,1261,124.0,10.169354839,3,3
BETH YESHURUN DAY SCHOOL,TX,harris,Houston,77096,186,11.0,16.909090909,2,1
PRIMROSE SCHOOL OF SPRING KLEIN,TX,harris,Spring,77388,17,2.0,8.5,3,1
PUEBLOS ROYAL CHRISTIAN SCHOOL,TX,harris,Pasadena,77502,50,8.5,5.8823529412,2,3
COVENANT CHRISTIAN SCHOOL,TX,montgomery,Conroe,77304,392,9.0,43.555555556,2,3
THE SCHOOL FOR YOUNG CHILDREN,TX,harris,Houston,77006,36,6.0,6.0,3,3
RIVER OAKS ACADEMY,TX,harris,Houston,77042,37,8.6,4.3023255814,3,3
RAINARD SCHOOL,TX,harris,Houston,77043,36,7.1,5.0704225352,3,1
BAY AREA MONTESSORI HOUSE,TX,harris,Houston,77058,36,3.0,12.0,2,1
THE JOHN COOPER SCHOOL,TX,montgomery,The Woodlands,77381,1257,117.6,10.68877551,3,3
THE SHLENKER SCHOOL,TX,harris,Houston,77096,197,11.4,17.280701754,2,1
THE BRANCH SCHOOL,TX,harris,Houston,77043,115,18.0,6.3888888889,2,1
GRACE CHRISTIAN ACADEMY,TX,harris,Houston,77062,185,20.0,9.25,2,3
PINES PRESBYTERIAN PRESCHOOL,TX,harris,Houston,77024,24,4.0,6.0,2,1
TRAFTON ACADEMY,TX,harris,Houston,77035,270,41.9,6.4439140811,3,1
THE GALLOWAY SCHOOL,TX,harris,Friendswood,77546,112,14.0,8.0,3,1
A & B NURSERY SCHOOL,TX,harris,Houston,77017,4,4.0,1.0,3,3
SMALLER SCHOLARS MONTESSORI,TX,harris,Houston,77077,83,12.0,6.9166666667,3,1
THE REGIS SCHOOL OF THE SACRED HEART,TX,harris,Houston,77055,222,35.8,6.2011173184,1,1
WESTVIEW SCHOOL,TX,harris,Houston,77043,127,20.6,6.1650485437,3,1
SPELL WELL MONTESSORI SCHOOL,TX,harris,Spring,77379,62,10.8,5.7407407407,3,1
SOUTHWEST COMMUNITY CHRISTIAN ACADEMY,TX,harris,Houston,77083,14,1.0,14.0,2,1
PRESBYTERIAN SCHOOL,TX,harris,Houston,77006,572,80.0,7.15,2,1
STEP BY STEP CHRISTIAN SCHOOL,TX,harris,Tomball,77375,74,11.0,6.7272727273,2,1
THE IMANI SCHOOL,TX,harris,Houston,77045,218,23.8,9.1596638655,3,1
YORKSHIRE ACADEMY,TX,harris,Houston,77079,104,20.0,5.2,2,1
ANNUNCIATION ORTHODOX SCHOOL,TX,harris,Houston,77006,621,64.1,9.6879875195,2,1
WEST MONTESSORI SCHOOL OF COPPERFIELD,TX,harris,Houston,77095,10,3.0,3.3333333333,3,1
STAR MONTESSORI SCHOOL,TX,harris,Pasadena,77505,13,1.0,13.0,3,1
