school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
MONTESSORI SCHOOLS OF CENTRAL TEXAS(TEMPLE CAMPUS),TX,bell,Temple,76504,23,3.0,7.6666666667,2,1
THE BROOK HILL SCHOOL,TX,smith,Bullard,75757,716,67.9,10.544918999,2,3
THE JOY SCHOOL,TX,harris,Houston,77006,147,34.9,4.212034384,3,1
TOMORROW'S PROMISE,TX,walker,Huntsville,77340,5,10.0,0.5,2,1
EAGLE CHRISTIAN ACADEMY,TX,mclennan,Waco,76710,149,19.4,7.6804123711,2,3
THE WINSTON SCHOOL,TX,dallas,Dallas,75229,158,38.0,4.1578947368,3,3
ALPINE CHRISTIAN ACADEMY,TX,gregg,Longview,75605,20,4.0,5.0,2,1
CAMBRIDGE MONTESSORI SCHOOL,TX,fort bend,Sugar Land,77498,86,7.0,12.285714286,3,1
CORINTH MONTESSORI SCHOOL,TX,denton,Corinth,76210,14,3.0,4.6666666667,3,1
FIRST STEPS MONTESSORI SCHOOL,TX,harris,Houston,77019,1,8.0,0.125,2,1
FRISCO MONTESSORI ACADEMY,TX,collin,Frisco,75033,98,30.0,3.2666666667,3,1
FAITH LUTHERAN DAY SCHOOL,TX,denton,Flower Mound,75028,31,0.9,34.444444444,2,1
GRACE LUTHERAN EARLY CHILDHOOD PROGRAM,TX,midland,Midland,79701,8,1.0,8.0,2,1
GRACE ACADEMY OF GEORGETOWN,TX,williamson,Georgetown,78633,325,29.3,11.092150171,2,3
GREAT LAKES ACADEMY,TX,collin,Plano,75023,84,17.6,4.7727272727,3,3
GUADALUPE REGIONAL MIDDLE SCHOOL,TX,cameron,Brownsville,78521,58,7.5,7.7333333333,1,1
NORTH CENTRAL TEXAS ACADEMY,TX,somervell,Granbury,76048,106,21.6,4.9074074074,2,3
HOLY TRINITY EPISCOPAL SCHOOL OF GREATER HOUSTON,TX,harris,Houston,77044,30,12.0,2.5,2,1
HUMBLE CHRISTIAN SCHOOL,TX,harris,Humble,77396,219,25.4,8.6220472441,2,3
ISLAMIC SCHOOL OF IRVING,TX,dallas,Irving,75062,552,66.4,8.313253012,2,3
SAN JUAN DIEGO CATHOLIC HIGH SCHOOL,TX,travis,Austin,78704,127,26.0,4.8846153846,1,2
KINGDOM PREPARATORY ACADEMY,TX,lubbock,Lubbock,79464,258,28.5,9.0526315789,2,3
MOUNT HEBRON CHRISTIAN ACADEMY,TX,dallas,Garland,75040,22,5.9,3.7288135593,2,1
OUR REDEEMER LUTHERAN NORTH SCHOOL,TX,harris,Houston,77076,6,2.1,2.8571428571,2,2
PARK ROW CHRISTIAN ACADEMY,TX,tarrant,Arlington,76013,82,4.0,20.5,2,1
REDEEMER EPISCOPAL SCHOOL,TX,maverick,Eagle Pass,78852,64,8.0,8.0,2,1
SPRING CREEK ACADEMY,TX,collin,Plano,75023,117,14.5,8.0689655172,3,3
ST HELEN CATHOLIC SCHOOL,TX,williamson,Georgetown,78626,161,13.8,11.666666667,1,1
SIMONTON CHRISTIAN ACADEMY,TX,fort bend,Simonton,77476,42,6.6,6.3636363636,2,1
ST PAUL CHRISTIAN SCHOOL,TX,collin,Plano,75023,4,1.0,4.0,2,1
GRIFFIN SCHOOL,TX,travis,Austin,78751,151,22.8,6.6228070175,3,2
THE MONTESSORI SCHOOL ON 11TH STREET,TX,jefferson,Beaumont,77703,2,1.6,1.25,3,1
TAYLOR CHRISTIAN SCHOOL,TX,hidalgo,Mcallen,78501,7,5.1,1.3725490196,2,1
PARISH EPISCOPAL SCHOOL,TX,dallas,Dallas,75244,1100,116.3,9.4582975064,2,3
THE SLOAN SCHOOL,TX,dallas,Irving,75062,56,6.3,8.8888888889,3,1
TRINITY EPISCOPAL SCHOOL OF AUSTIN,TX,travis,West Lake Hills,78746,560,59.0,9.4915254237,2,1
VANGUARD PREPARATORY SCHOOL,TX,dallas,Dallas,75244,90,15.6,5.7692307692,3,3
WEST DALLAS COMMUNITY SCHOOL,TX,dallas,Dallas,75212,190,26.9,7.063197026,2,1
WYLIE PREPARATORY ACADEMY,TX,collin,Wylie,75098,296,25.0,11.84,2,3
THE WOODLANDS PREPORATORY SCHOOL,TX,harris,Tomball,77375,27,8.0,3.375,3,3
CAPITOL SCHOOL OF AUSTIN,TX,travis,Austin,78756,43,8.0,5.375,3,1
COMMUNITY MONTESSORI SCHOOL,TX,williamson,Georgetown,78626,115,9.0,12.777777778,3,1
ESPRIT INTERNATIONAL SCHOOL,TX,montgomery,The Woodlands,77381,208,15.1,13.774834437,3,3
FERRIS CHRISTIAN ACADEMY,TX,ellis,Ferris,75125,25,4.0,6.25,2,1
GENEVA SCHOOL OF BOERNE,TX,kendall,Boerne,78015,697,132.8,5.2484939759,2,3
GREEN OAKS SCHOOL,TX,tarrant,Arlington,76011,36,4.0,9.0,2,3
CASNER CHRISTIAN ACADEMY,TX,travis,Austin,78759,16,1.0,16.0,2,1
I A N T QURANIC ACADEMY,TX,dallas,Richardson,75081,237,41.0,5.7804878049,2,3
LAKEWOOD MONTESSORI SCHOOL,TX,dallas,Dallas,75214,14,3.4,4.1176470588,3,1
LIFE CENTER CHRISTIAN ACADEMY,TX,el paso,El Paso,79936,16,2.8,5.7142857143,2,3
LUCAS CHRISTIAN ACADEMY,TX,collin,Lucas,75002,375,10.9,34.403669725,2,3
MARSHALL CHRISTIAN ACADEMY,TX,harrison,Marshall,75672,104,27.0,3.8518518519,3,3
MISS ENDY'S CHRISTIAN ACADEMY,TX,tarrant,Fort Worth,76107,6,2.3,2.6086956522,2,1
ODYSSEY SCHOOL,TX,travis,Austin,78751,56,11.8,4.7457627119,3,2
OPEN DOOR CHRISTIAN SCHOOL,TX,young,Graham,76450,112,15.8,7.0886075949,2,1
OUR LADY OF THE HILLS REG CATHOLIC HIGH SCHOOL,TX,kerr,Kerrville,78028,89,10.3,8.640776699,1,2
POETRY COMMUNITY CHRISTIAN SCHOOL,TX,kaufman,Terrell,75160,236,33.0,7.1515151515,2,3
ST JOHN XXIII COLLEGE PRREPARATORY,TX,harris,Katy,77449,408,31.8,12.830188679,1,2
SANCTUARY ACADEMY OF THE REGIONAL BIBLE INSTITUTE,TX,hidalgo,Mcallen,78502,4,3.0,1.3333333333,2,3
SAN ANGELO CHRISTIAN ACADEMY,TX,tom green,San Angelo,76904,106,19.0,5.5789473684,2,3
SHADY ACRES CHRISTIAN SCHOOL,TX,harris,Tomball,77377,59,7.0,8.4285714286,2,3
SOUTHMINSTER SCHOOL,TX,fort bend,Missouri City,77459,58,8.6,6.7441860465,2,1
ST FRANCIS SCHOOL,TX,travis,Austin,78752,376,48.5,7.7525773196,3,2
ST GERARD CATHOLIC SCHOOL,TX,bexar,San Antonio,78203,58,5.6,10.357142857,1,2
ST JOSEPH CATHOLIC SCHOOL,TX,dallas,Richardson,75081,249,24.8,10.040322581,1,1
THE RUBICON ACADEMY,TX,montgomery,The Woodlands,77384,16,6.4,2.5,3,1
TIERRA VISTA MONTESSORI SCHOOL,TX,burnet,Marble Falls,78654,3,1.0,3.0,3,1
THE GOSPEL LIGHTHOUSE CHRISTIAN ACADEMY,TX,caldwell,Lockhart,78644,11,1.0,11.0,2,2
HEADWATERS SCHOOL,TX,travis,Austin,78701,411,46.6,8.8197424893,3,3
TRINITY CHRISTIAN ACADEMY,TX,lamar,Paris,75460,149,15.3,9.7385620915,2,3
AMBLESIDE SCHOOL OF SAN ANGELO,TX,tom green,San Angelo,76903,83,12.0,6.9166666667,2,3
PATHWAY CHRISTIAN ACADEMY,TX,johnson,Burleson,76028,12,1.0,12.0,2,1
VERITAS CHRISTIAN ACADEMY,TX,harris,Bellaire,77401,164,18.0,9.1111111111,2,1
ACHIEVERS CENTER FOR EDUCATION,TX,bexar,San Antonio,78249,12,3.0,4.0,2,3
APPLEGATE ADVENTIST JR ACADEMY,TX,williamson,Round Rock,78680,12,2.8,4.2857142857,2,1
ASCENSION ACADEMY,TX,randall,Amarillo,79159,171,33.5,5.1044776119,3,2
AZLE CHRISTIAN SCHOOL,TX,parker,Azle,76020,175,16.0,10.9375,2,3
BRAZOS VALLEY CORNERSTONE CHRISTIAN ACADEMY,TX,brazos,Bryan,77801,51,21.1,2.4170616114,2,3
CLEBURNE ADVENTIST CHRISTIAN SCHOOL,TX,johnson,Cleburne,76033,37,4.0,9.25,2,1
COPPELL MONTESSORI ACADEMY,TX,dallas,Coppell,75019,48,2.0,24.0,3,1
HERITAGE MONTESSORI OF MURPHY,TX,collin,Murphy,75094,2,10.9,0.1834862385,3,1
HOLY TRINITY ACADEMY,TX,dallas,Dallas,75240,4,1.0,4.0,2,1
INCARNATE WORD ACADEMY-ELEM LEVEL,TX,nueces,Corpus Christi,78404,163,15.6,10.448717949,1,1
JOSHUA CHRISTIAN ACADEMY,TX,johnson,Joshua,76058,145,15.0,9.6666666667,2,3
LIVE OAK CLASSICAL SCHOOL,TX,mclennan,Waco,76703,447,61.9,7.2213247173,2,3
MESORAH HIGH SCHOOL FOR GIRLS,TX,dallas,Dallas,75251,59,6.5,9.0769230769,2,2
MONTESSORI HOUSE FOR CHILDREN,TX,fort bend,Richmond,77407,97,14.5,6.6896551724,3,1
MONTESSORI SCHOOL OF DOWNTOWN SILVERLAKE,TX,brazoria,Pearland,77584,32,2.0,16.0,3,1
PRIMROSE SCHOOL OF ROCKWALL,TX,rockwall,Rockwall,75032,14,2.0,7.0,3,1
RAWSON-SAUNDERS-AUSTIN AREA SCHOOL FOR DYSLEXICS,TX,travis,Austin,78703,199,60.0,3.3166666667,3,3
THE ST ANTHONY SCHOOL,TX,dallas,Carrollton,75006,66,15.0,4.4,3,3
ST TIMOTHY CHRISTIAN ACADEMY,TX,denton,Plano,75093,30,3.0,10.0,2,3
FLINT ACADEMY,TX,tarrant,Dalworthington Gardens,76013,84,15.0,5.6,2,3
THE KESSLER SCHOOL,TX,dallas,Dallas,75208,71,18.8,3.7765957447,3,1
THE WESTWOOD SCHOOL,TX,dallas,Dallas,75244,217,35.4,6.1299435028,3,3
CORNERSTONE CHRISTIAN ACADEMY,TX,fort bend,Sugar Land,77479,197,49.5,3.9797979798,2,1
WIMBERLEY MONTESSORI,TX,hays,Wimberley,78676,45,3.0,15.0,3,1
THE WIDE SCHOOL,TX,fort bend,Missouri City,77459,151,13.5,11.185185185,3,3
PRIMROSE SCHOOL OF FIRST COLONY,TX,fort bend,Sugar Land,77479,12,1.0,12.0,3,1
AUSTIN CHILDREN'S MONTESSORI,TX,travis,Austin,78748,1,1.0,1.0,3,1
AUSTIN INTERNATIONAL SCHOOL,TX,travis,Austin,78727,163,22.6,7.2123893805,3,1
CHILDRENS LIGHTHOUSE LEARNING CENTER,TX,fort bend,Katy,77494,15,1.4,10.714285714,3,1
C P PREPARATORY SCHOOL,TX,dallas,Mesquite,75149,14,1.0,14.0,3,1
COMMUNITY CHRISTIAN ACADEMY,TX,waller,Hempstead,77445,59,10.0,5.9,3,1
CREME DE LA CREME - ALLEN,TX,collin,Allen,75013,15,2.0,7.5,3,1
FIELDER ROAD EARLY CHILDHOOD CENTER,TX,tarrant,Arlington,76013,24,3.6,6.6666666667,2,1
FIRST FAITH PRESCHOOL & KINDERGARTEN,TX,tarrant,Mansfield,76063,9,1.3,6.9230769231,2,1
THE FULTON SCHOOL,TX,rockwall,Heath,75032,46,6.6,6.9696969697,3,1
MERRYHILL SCHOOL,TX,tarrant,Arlington,76015,120,18.9,6.3492063492,3,1
MEMORIAL MONTESSORI SCHOOL,TX,fort bend,Sugar Land,77479,2,2.0,1.0,3,1
JOY SCHOOL,TX,tom green,San Angelo,76904,10,0.6,16.666666667,2,1
MONTESSORI ACADEMY OF NORTH TEXAS,TX,grayson,Sherman,75090,20,2.0,10.0,2,1
OAK CREST PRIVATE SCHOOL,TX,dallas,Carrollton,75006,42,6.9,6.0869565217,3,1
PEBBLECREEK MONTESSORI,TX,collin,Plano,75025,34,6.0,5.6666666667,3,1
PRIMROSE SCHOOL AT SUMMERWOOD,TX,harris,Houston,77044,16,2.0,8.0,3,1
PRIMROSE SCHOOL OF CASTLE HILLS,TX,denton,Carrollton,75010,13,26.0,0.5,3,1
PRIMROSE SCHOOL OF GRAPEVINE COLLEYVILLE,TX,tarrant,Grapevine,76051,12,1.0,12.0,3,1
PRIMOSE SCHOOL OF ATASCOCITO,TX,harris,Kingwood,77346,13,2.0,6.5,3,1
PRIMROSE SCHOOL OF LAKEHILL,TX,collin,Frisco,75034,13,1.0,13.0,3,1
PRIMROSE SCHOOL OF LAS COLINAS,TX,dallas,Irving,75039,110,1.0,110.0,2,1
PRIMROSE SCHOOL OF PARKWOOD HILL,TX,tarrant,Fort Worth,76137,2,1.0,2.0,3,1
PRIMROSE SCHOOL OF ROWLETT,TX,dallas,Rowlett,75089,15,2.0,7.5,3,1
PRIMROSE SCHOOL OF STONE BROOKE,TX,collin,Mckinney,75071,17,1.0,17.0,3,1
PRIMROSE SCHOOL OF WEST ALLEN,TX,collin,Allen,75013,20,2.0,10.0,3,1
SPANISH SCHOOLHOUSE,TX,dallas,Coppell,75019,16,4.0,4.0,3,1
STEPPING STONES ACADEMY,TX,tarrant,Fort Worth,76244,7,1.0,7.0,2,1
SUBURBAN SCHOOL,TX,bexar,San Antonio,78240,6,1.0,6.0,3,1
THE PREP SCHOOL,TX,gregg,Longview,75601,14,3.5,4.0,2,1
FIRST BAPTIST ACADEMY,TX,harris,Baytown,77521,76,8.4,9.0476190476,2,1
WHITE DOVE MONTESSORI SCHOOL,TX,collin,Plano,75025,5,1.0,5.0,3,1
ACE ACADEMY,TX,travis,Austin,78756,65,16.1,4.0372670807,3,1
ANGLETON CHRISTIAN SCHOOL,TX,brazoria,Angleton,77515,294,30.0,9.8,2,3
CENTRAL BAPTIST CHRISTIAN ACADEMY,TX,randall,Amarillo,79110,9,2.5,3.6,2,3
SHILOH CHRISTIAN ACADEMY,TX,el paso,El Paso,79907,21,6.0,3.5,2,1
NEW LIFE CHRISTIAN SCHOOL,TX,gregg,Longview,75605,30,5.0,6.0,2,3
NORTHSTAR SCHOOL,TX,tarrant,Arlington,76017,29,8.9,3.2584269663,3,2
KINGWOOD MONTESSORI SCHOOL,TX,harris,Kingwood,77345,47,9.0,5.2222222222,3,1
WESLEY PREP,TX,dallas,Dallas,75220,206,27.5,7.4909090909,2,1
AHB COMMUNITY SCHOOL,TX,travis,Austin,78751,72,8.0,9.0,3,1
BRECKINRIDGE MONTESSORI SCHOOL,TX,collin,Richardson,75082,24,2.5,9.6,3,1
CALVARY EPISCOPAL SCHOOL,TX,bastrop,Bastrop,78602,82,19.1,4.2931937173,2,1
ONE SCHOOL GLOBAL,TX,bexar,San Antonio,78218,27,3.4,7.9411764706,3,3
CHRISTIAN COTTAGE PREP,TX,tarrant,Fort Worth,76120,22,3.5,6.2857142857,2,3
CHRISTIAN HERITAGE ACADEMY,TX,anderson,Palestine,75801,81,11.6,6.9827586207,2,1
EVEREST ACADEMY,TX,fort bend,Stafford,77477,361,42.6,8.4741784038,2,3
EXPLORATIONS PREPARATORY SCHOOL,TX,denton,Flower Mound,75028,49,9.4,5.2127659574,3,1
FIRST BAPTIST ACADEMY,TX,hardin,Silsbee,77656,144,16.0,9.0,2,1
HARBOR LEADERSHIP ACADEMY,TX,travis,Leander,78641,35,10.9,3.2110091743,3,3
HAWTHORNE MONTESSORI SCHOOL,TX,travis,Austin,78758,6,1.0,6.0,3,1
ILM ACADEMY,TX,harris,Houston,77043,143,23.1,6.1904761905,2,1
ST JOHN PAUL II HIGH SCHOOL,TX,nueces,Corpus Christi,78415,217,16.9,12.840236686,1,2
KING'S ACADEMY CHRISTIAN SCHOOL,TX,smith,Tyler,75703,198,22.5,8.8,2,3
LEON VALLEY CHRISTIAN ACADEMY,TX,bexar,San Antonio,78251,56,7.9,7.0886075949,2,3
PRIMROSE SCHOOL OF BARKER CYPRESS,TX,harris,Cypress,77429,14,1.0,14.0,3,1
PRIMROSE SCHOOL OF THE MID-CITIES,TX,tarrant,Hurst,76054,10,1.0,10.0,3,1
PRIMROSE SCHOOL OF PRESTMONT,TX,collin,Frisco,75035,14,2.0,7.0,3,1
PRIMROSE SCHOOL OF ROUND ROCK,TX,williamson,Round Rock,78681,6,1.0,6.0,3,1
PRIMROSE SCHOOL OF THE WOODLANDS AT STERLING RIDGE,TX,montgomery,The Woodlands,77382,11,1.0,11.0,3,1
SILVERLINE MONTESSORI - SILVERLAKE CAMPUS,TX,brazoria,Pearland,77584,47,3.0,15.666666667,3,1
SPRING BAPTIST ACADEMY,TX,harris,Spring,77373,192,27.0,7.1111111111,2,3
ST MATTHEW CATHOLIC SCHOOL,TX,el paso,El Paso,79922,164,14.0,11.714285714,1,1
STONEGATE CHRISTIAN ACADEMY,TX,dallas,Irving,75061,94,26.0,3.6153846154,2,3
THE CAMBRIDGE SCHOOL OF DALLAS,TX,dallas,Dallas,75229,96,19.9,4.824120603,2,2
TURNING POINT CHRISTIAN ACADEMY,TX,dallas,Desoto,75115,8,5.6,1.4285714286,2,3
UNIVERSITY CHRISTIAN CHURCH WEEKDAY SCHOOL,TX,tarrant,Fort Worth,76109,18,1.3,13.846153846,2,1
VICTORY BAPTIST ACADEMY,TX,parker,Weatherford,76086,193,16.5,11.696969697,2,3
WESTSIDE BAPTIST ACADEMY,TX,harris,Katy,77449,64,10.9,5.871559633,2,3
FIRST CHRISTIAN DAY SCHOOL,TX,ellis,Waxahachie,75165,63,7.3,8.6301369863,2,1
ST PETER'S CLASSICAL SCHOOL,TX,tarrant,Fort Worth,76132,87,14.1,6.170212766,2,3
THE MAGELLAN INTERNATIONAL SCHOOL,TX,travis,Austin,78757,413,61.3,6.7373572594,3,1
VERITAS ACADEMY,TX,hays,Austin,78739,647,25.3,25.57312253,2,3
YORKTOWN EDUCATION,TX,collin,Plano,75093,4,1.5,2.6666666667,3,3
CORNERSTONE CROSSROADS ACADEMY,TX,dallas,Dallas,75315,23,2.3,10.0,2,2
ST THERESA CATHOLIC SCHOOL-SUGAR LAND,TX,fort bend,Sugar Land,77498,202,17.0,11.882352941,1,1
ARBORCREEK MONTESSORI SCHOOL,TX,dallas,Farmers Branch,75234,5,4.4,1.1363636364,3,1
ATHENS CHRISTIAN PREPARATORY ACADEMY,TX,henderson,Athens,75751,175,19.4,9.0206185567,2,3
BONNE VIE SCHOOL,TX,harris,Houston,77027,3,4.0,0.75,3,3
BROWNSVILLE MONTESSORI ACADEMY,TX,cameron,Brownsville,78520,36,9.6,3.75,3,1
CHOICES LEADERSHIP ACADEMY,TX,denton,Dallas,75287,17,5.8,2.9310344828,3,1
COUTS CHRISTIAN ACADEMY,TX,parker,Weatherford,76086,14,8.9,1.5730337079,2,1
CREME DE LA CREME - PLANO,TX,collin,Plano,75093,22,2.0,11.0,3,1
CUNAE INTERNATIONAL SCHOOL,TX,harris,The Woodlands,77389,87,15.8,5.5063291139,3,3
CYPRESS CREEK CHILDREN'S MONTESSORI SCHOOL,TX,collin,Frisco,75035,15,1.0,15.0,3,1
DALLAS INTERNATIONAL SCHOOL,TX,dallas,Dallas,75230,213,24.5,8.693877551,3,1
EDNA CHRISTIAN ACADEMY,TX,jackson,Edna,77957,20,5.0,4.0,2,3
GARLAND CHRISTIAN ADVENTIST SCHOOL,TX,dallas,Garland,75041,17,3.8,4.4736842105,2,1
GREATER CALVARY ACADEMY,TX,travis,Austin,78723,7,3.0,2.3333333333,3,1
KILLEEN ADVENTIST JUNIOR ACADEMY,TX,bell,Killeen,76543,64,6.5,9.8461538462,2,3
NEW CENTURY MONTESSORI ACADEMY,TX,dallas,Garland,75044,121,25.6,4.7265625,3,3
PANTEGO CHRISTIAN ACADEMY,TX,tarrant,Pantego,76013,469,72.1,6.5048543689,2,3
PRIMROSE SCHOOL AT HIDDEN LAKES,TX,tarrant,Southlake,76092,4,1.0,4.0,3,1
PRIMROSE SCHOOL AT VISTA RIDGE,TX,williamson,Cedar Park,78613,2,1.0,2.0,3,1
SILVERLINE MONTESSORI SCHOOL - SHADOW CREEK,TX,brazoria,Pearland,77584,108,13.6,7.9411764706,3,1
MIRUS ACADEMY,TX,harris,Katy,77493,32,3.4,9.4117647059,3,2
THE MONTESSORI SCHOOLS OF CENTRAL TEXAS,TX,bell,Temple,76504,34,19.0,1.7894736842,2,1
BLOOMING SCHOLARS MONTESSORI SCHOOL,TX,williamson,Round Rock,78664,14,3.0,4.6666666667,3,1
MONTESSORI LEARNING CENTER,TX,el paso,El Paso,79912,13,11.4,1.1403508772,2,1
A+ PREP SCHOOL,TX,collin,Plano,75023,17,5.3,3.2075471698,3,1
ABACUS SCHOOL OF AUSTIN,TX,williamson,Austin,78717,20,2.0,10.0,3,1
"ALDEN MONTESSORI SCHOOL, LLC",TX,denton,Flower Mound,75077,43,5.1,8.431372549,3,1
APPLESEED ACADEMY,TX,dallas,Mesquite,75150,26,3.0,8.6666666667,2,1
GUIDEPOST  MONTESSORI SCHOOL AT BRUSHY CREEK,TX,williamson,Cedar Park,78613,50,13.1,3.8167938931,3,1
CANYON CREEK DAY SCHOOL,TX,collin,Plano,75024,47,2.6,18.076923077,3,1
CHILDRENS LIGHTHOUSE HELOTES,TX,bexar,Helotes,78023,16,1.0,16.0,3,1
CREATIVE CORNER,TX,harris,Houston,77015,8,2.0,4.0,3,1
CREME DE LA CREME,TX,denton,Frisco,75033,15,2.0,7.5,3,1
CRESTVIEW BAPTIST EARLY CHILDHOOD CENTER,TX,midland,Midland,79703,33,4.4,7.5,2,1
ISLAMIC FAITH ACADEMY,TX,smith,Tyler,75707,30,4.0,7.5,2,2
FIRST METHODIST SCHOOL,TX,dallas,Duncanville,75116,8,2.0,4.0,2,1
KIDDIE KOLLEGE PRESCHOOL,TX,ector,Odessa,79761,14,2.0,7.0,3,1
KING ARTHUR MONTESSORI ACADEMY,TX,denton,Coppell,75019,15,12.5,1.2,3,1
LITTLE WONDERS OF BAYBROOK BAPTIST,TX,harris,Friendswood,77546,1,3.3,0.303030303,2,1
LOCKHART MONTESSORI SCHOOL,TX,caldwell,Lockhart,78644,40,3.0,13.333333333,3,1
MONTESSORI SCHOOL,TX,cameron,Brownsville,78520,3,1.0,3.0,3,1
SAPIENTIA MONTESSORI SCHOOL,TX,williamson,Cedar Park,78613,57,10.6,5.3773584906,3,1
SPRINGBOK ACADEMY,TX,denton,Denton,76201,3,2.0,1.5,3,1
THE TOWNE CREEK SCHOOL,TX,fort bend,Missouri City,77459,13,1.0,13.0,3,1
MESQUITE BAPTIST ACADEMY,TX,dallas,Mesquite,75149,54,10.0,5.4,2,3
ST DOMINIC SAVIO CATHOLIC HIGH SCHOOL,TX,williamson,Austin,78717,400,32.6,12.26993865,1,2
AESA PREP ACADEMY,TX,hays,Austin,78737,146,17.3,8.4393063584,3,3
CASA DEI BAMBINI,TX,fort bend,Missouri City,77459,15,9.0,1.6666666667,3,1
GEM EXPRESS PRESCHOOL & KINDERGARTEN,TX,collin,Lucas,75002,24,2.6,9.2307692308,2,1
ST MARTIN DE PORRES CATHOLIC SCHOOL,TX,denton,Prosper,75078,173,20.0,8.65,1,1
HOUSTON PEACE ACADEMY,TX,harris,Spring,77379,27,10.5,2.5714285714,2,1
HOUSTON QURAN ACADEMY,TX,harris,Houston,77094,268,35.0,7.6571428571,2,3
JOHN PAUL II CATHOLIC HIGH SCHOOL,TX,comal,New Braunfels,78132,205,25.9,7.9150579151,1,2
JUAN DIEGO ACADEMY,TX,hidalgo,Mission,78573,94,8.5,11.058823529,1,2
LLANO CHRISTIAN ACADEMY,TX,llano,Llano,78643,60,10.4,5.7692307692,2,3
LOGOS PREPARATORY SCHOOL,TX,fort bend,Sugar Land,77478,524,30.0,17.466666667,2,3
MARIPOSA MONTESSORI SCHOOL,TX,travis,Austin,78745,66,33.0,2.0,3,1
MUNDO MONTESSORI,TX,webb,Laredo,78041,27,1.0,27.0,3,3
PRIMROSE SCHOOL OF BEE CAVE,TX,travis,Austin,78738,11,15.0,0.7333333333,3,1
PRIMROSE SCHOOL OF SHADY HOLLOW,TX,travis,Austin,78748,24,2.0,12.0,3,1
PRIMROSE SCHOOL OF WEST PEARLAND,TX,brazoria,Pearland,77584,10,1.0,10.0,3,1
PRIMROSE WEST PLANO,TX,collin,Plano,75093,10,1.0,10.0,3,1
RESOLUTION RANCH ACADEMY,TX,milam,Cameron,76520,23,2.0,11.5,3,2
SEGUIN CHRISTIAN ACADEMY,TX,guadalupe,Seguin,78155,17,3.6,4.7222222222,2,1
DIVINE SAVIOR ACADEMY - SIENNA PLANTATION,TX,fort bend,Missouri City,77459,169,11.1,15.225225225,2,3
SNYDER CHRISTIAN SCHOOL,TX,scurry,Snyder,79550,45,6.0,7.5,2,1
SOUTHWEST CHRISTIAN SCHOOL,TX,tarrant,Fort Worth,76123,807,91.6,8.8100436681,2,3
STONEHILL CHRISTIAN ACADEMY,TX,travis,Pflugerville,78660,34,4.0,8.5,2,1
SUPERIOR ACADEMY OF LOREDO,TX,webb,Laredo,78041,50,4.0,12.5,3,2
TRINITY EPISCOPAL DAY SCHOOL,TX,montgomery,The Woodlands,77381,11,3.5,3.1428571429,2,1
WALLER CHRISTIAN ACADEMY,TX,waller,Waller,77484,11,4.0,2.75,2,3
XAVIER EDUCATIONAL ACADEMY,TX,harris,Houston,77027,140,24.0,5.8333333333,3,2
EA YOUNG ACADEMY,TX,tarrant,North Richland Hills,76182,93,12.6,7.380952381,3,3
GRACE COVENANT ACADEMY-FRISCO,TX,collin,Frisco,75033,165,11.9,13.865546218,2,3
MOSAIC ACADEMY,TX,tarrant,Fort Worth,76104,35,7.4,4.7297297297,2,1
SATORI SCHOOL,TX,galveston,Galveston,77550,30,7.4,4.0540540541,3,1
SPRINGBOARD ACADEMICS,TX,lubbock,Lubbock,79412,110,5.4,20.37037037,3,3
LAKEHILL PREPARATORY SCHOOL,TX,dallas,Dallas,75214,369,63.3,5.8293838863,3,3
ALPINE CHRISTIAN SCHOOL,TX,brewster,Alpine,79831,48,7.0,6.8571428571,2,3
CENTRAL CATHOLIC HIGH SCHOOL -SAN ANTONIO,TX,bexar,San Antonio,78215,532,36.0,14.777777778,1,2
CLOUD OF LIGHT CHRISTIAN ACADEMY,TX,harris,Houston,77082,20,5.5,3.6363636364,2,1
COLLIN COUNTY CORNERSTONE CHRISTIAN ACADEMY,TX,collin,Mckinney,75070,367,39.6,9.2676767677,2,3
COVENANT COMMUNITY SCHOOLS,TX,williamson,Round Rock,78681,45,9.0,5.0,2,3
CRISTO REY DALLAS COLLEGE PREP,TX,dallas,Dallas,75217,421,31.0,13.580645161,1,2
CYPRESS BEND ADVENTIST ELEMENTARY SCHOOL,TX,marion,Jefferson,75657,22,3.0,7.3333333333,2,1
ELIM CHRISTIAN SCHOOL,TX,harris,Houston,77084,11,3.1,3.5483870968,2,3
FIRST CLASS CHILD DEVELOPMENT CENTER,TX,harris,Houston,77062,13,1.6,8.125,3,1
GENESIS CHRISTIAN SCHOOL,TX,harris,Houston,77075,201,14.6,13.767123288,2,3
GLORIA DEO ACADEMY,TX,comal,Bulverde,78163,168,12.9,13.023255814,2,3
GRACE COMMUNITY SCHOOL,TX,smith,Tyler,75701,907,83.4,10.87529976,2,3
GRACE EPISCOPAL SCHOOL,TX,williamson,Georgetown,78626,10,1.0,10.0,2,1
KIDS LEARNING CENTER,TX,collin,Plano,75023,20,9.4,2.1276595745,2,1
LAKESIDE MONTESSORI ACADEMY LLC,TX,denton,The Colony,75056,13,1.9,6.8421052632,3,1
MARIAN HIGH SCHOOL (NTI CAREER INSTITUTE),TX,harris,Houston,77036,14,7.0,2.0,3,2
MASTERPIECE BILINGUAL ACADEMY,TX,nueces,Corpus Christi,78412,4,1.0,4.0,2,1
