county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
clay,10290,75227,9.092696353091515,23.241306079108043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,4.0,51.609545454545454,95.07159090909092,12.333352272727275,62.979034090909096,96.30460227272728
cochran,2529,41597,25.848142164781905,8.52575488454707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,2.0,65.87639097744362,95.15729323308271,11.431879699248121,24.35593984962406,96.56902255639098
coke,3305,40230,16.509136735979837,19.49685534591195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,2.0,43.70558882235529,94.7241516966068,15.612774451097803,38.65768463073852,97.74491017964071
coleman,7808,51034,17.113615753335925,20.65139584824624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,3.0,53.21669407894737,93.7624177631579,19.517269736842106,15.119572368421052,93.38873355263158
collin,1079153,113255,6.322078916289731,54.289836202035765,68.0,12861.0,1082.7,11.905969568410294,11.878636741479632,6.301238100621506,1191.7679884131353,249800.0,16.0,24.723519215372296,94.91054683746997,11.775001200960768,21.572785236244137,97.67149320722959
collingsworth,2865,52045,22.34576757532281,25.1959686450168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,1.0,63.3,96.6,6.0,10.5,97.4
colorado,20582,63352,7.451862965741435,22.172268607721403,2.0,231.0,26.0,8.6831753977,8.884615384615385,9.71722864639005,1122.3399086580507,3643.0,3.0,64.9475706835026,94.63368103211639,15.113834751578368,54.548970628602795,96.76458962393632
comal,165201,93744,6.100544887635993,40.53736196265966,11.0,2130.0,229.8,10.086551760618182,9.268929503916448,6.658555335621456,1289.3384422612455,39924.0,3.0,31.225503456567477,94.09775323113915,16.116779380823566,26.105740907724677,97.32534565674783
comanche,13651,57383,13.528009535160908,18.876755070202808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253.0,4.0,56.84460719041278,95.35974256546827,10.689214380825566,39.17727474478473,95.33417665335108
concho,3235,55750,15.928837401737692,11.560226354082458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,2.0,75.1300578034682,94.74450867052023,13.451637764932562,22.967244701348747,97.95606936416185
